region,sexo,edad,s5,s6,yoprcor,yoprcorh,o10,o27,e6a,e6b
10,2,66,1.0,21.0,0.0,0,0.0,0.0,1,3.0
10,1,67,0.0,0.0,0.0,0,0.0,0.0,1,3.0
10,1,29,0.0,0.0,250000.0,250000,48.0,2.0,2,2.0
10,2,24,1.0,21.0,0.0,250000,0.0,0.0,2,4.0
10,2,3,0.0,0.0,0.0,250000,0.0,0.0,1,0.0
10,2,51,0.0,0.0,250000.0,250000,45.0,2.0,3,3.0
10,2,34,3.0,21.0,0.0,0,0.0,0.0,2,2.0
10,2,12,0.0,0.0,0.0,0,0.0,0.0,1,6.0
10,1,7,0.0,0.0,0.0,0,0.0,0.0,1,1.0
10,2,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0
10,1,54,0.0,0.0,0.0,200000,0.0,0.0,2,4.0
10,2,49,3.0,19.0,0.0,200000,0.0,0.0,2,4.0
10,1,21,0.0,0.0,200000.0,200000,45.0,2.0,3,2.0
10,2,13,0.0,0.0,0.0,200000,0.0,0.0,1,6.0
10,1,39,0.0,0.0,1100000.0,1100000,45.0,2.0,3,5.0
10,2,36,3.0,20.0,0.0,1100000,0.0,0.0,3,2.0
10,2,14,0.0,0.0,0.0,1100000,0.0,0.0,2,1.0
10,1,11,0.0,0.0,0.0,1100000,0.0,0.0,1,1.0
10,2,6,0.0,0.0,0.0,1100000,0.0,0.0,1,1.0
10,1,33,0.0,0.0,70000.0,70000,45.0,2.0,3,3.0
10,2,34,3.0,17.0,0.0,70000,0.0,0.0,2,4.0
10,1,17,0.0,0.0,0.0,70000,45.0,2.0,2,2.0
10,2,6,0.0,0.0,0.0,70000,0.0,0.0,1,1.0
10,1,3,0.0,0.0,0.0,70000,0.0,0.0,1,0.0
10,2,18,1.0,17.0,0.0,230000,0.0,0.0,1,8.0
10,1,39,0.0,0.0,230000.0,230000,72.0,2.0,3,3.0
10,2,1,0.0,0.0,0.0,230000,0.0,0.0,1,0.0
10,2,20,1.0,19.0,0.0,350000,0.0,0.0,2,4.0
10,1,21,0.0,0.0,350000.0,350000,56.0,2.0,2,4.0
10,1,0,0.0,0.0,0.0,350000,0.0,0.0,1,0.0
10,1,37,0.0,0.0,1200000.0,1200000,20.0,2.0,4,7.0
10,2,30,2.0,15.0,210000.0,210000,45.0,1.0,1,8.0
10,2,14,0.0,0.0,0.0,210000,0.0,0.0,2,1.0
10,1,6,0.0,0.0,0.0,210000,0.0,0.0,1,0.0
10,2,50,2.0,24.0,0.0,700000,0.0,0.0,2,3.0
10,2,26,1.0,23.0,0.0,700000,0.0,0.0,3,4.0
10,1,27,0.0,0.0,700000.0,700000,84.0,2.0,3,4.0
10,1,15,0.0,0.0,0.0,700000,0.0,0.0,2,1.0
10,2,3,0.0,0.0,0.0,700000,0.0,0.0,1,0.0
10,1,58,0.0,0.0,350000.0,560000,60.0,2.0,2,5.0
