region,sexo,edad,s4,s5,yoprcor,yoprcorh,o10,o26,e6a
11.0,1.0,72.0,2.0,35.0,700000.0,700000.0,36.0,2.0,2.0
11.0,2.0,65.0,2.0,30.0,300000.0,300000.0,12.0,2.0,4.0
11.0,2.0,33.0,0.0,0.0,1134546.0,1134546.0,40.0,2.0,3.0
11.0,1.0,35.0,0.0,0.0,762261.0,762261.0,40.0,2.0,3.0
11.0,1.0,73.0,3.0,20.0,1047000.0,1047000.0,40.0,2.0,3.0
11.0,2.0,43.0,2.0,21.0,450000.0,450000.0,45.0,2.0,2.0
11.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11.0,1.0,85.0,2.0,40.0,0.0,0.0,0.0,0.0,3.0
11.0,1.0,50.0,3.0,25.0,0.0,0.0,0.0,0.0,2.0
11.0,1.0,70.0,3.0,27.0,5000000.0,5000000.0,48.0,2.0,3.0
11.0,2.0,56.0,2.0,20.0,700000.0,700000.0,40.0,2.0,3.0
11.0,2.0,27.0,1.0,22.0,0.0,0.0,0.0,0.0,3.0
11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,44.0,2.0,36.0,2500000.0,2500000.0,44.0,2.0,3.0
11.0,2.0,36.0,2.0,28.0,2600000.0,2600000.0,22.0,2.0,4.0
11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,2.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11.0,2.0,78.0,5.0,15.0,2000000.0,2000000.0,100.0,2.0,2.0
11.0,1.0,63.0,0.0,0.0,0.0,0.0,100.0,2.0,3.0
11.0,2.0,63.0,2.0,30.0,0.0,0.0,0.0,0.0,3.0
11.0,1.0,42.0,3.0,29.0,2500000.0,2500000.0,50.0,2.0,4.0
11.0,2.0,38.0,3.0,25.0,500000.0,500000.0,30.0,2.0,3.0
11.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,49.0,1.0,32.0,2000000.0,2000000.0,40.0,2.0,3.0
11.0,2.0,52.0,1.0,35.0,0.0,0.0,0.0,0.0,3.0
11.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11.0,1.0,49.0,2.0,38.0,3200000.0,3200000.0,50.0,2.0,3.0
11.0,2.0,41.0,2.0,30.0,0.0,0.0,0.0,0.0,3.0
11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,34.0,3.0,27.0,1800000.0,1800000.0,40.0,2.0,3.0
11.0,2.0,33.0,3.0,25.0,0.0,0.0,0.0,0.0,3.0
11.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,35.0,2.0,24.0,1800000.0,1800000.0,40.0,2.0,3.0
11.0,2.0,34.0,2.0,23.0,1200000.0,1200000.0,44.0,2.0,3.0
11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,33.0,2.0,29.0,2400000.0,2400000.0,44.0,2.0,3.0
11.0,2.0,30.0,2.0,26.0,1800000.0,1800000.0,44.0,2.0,3.0
11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
