region,sexo,edad,s7,s8,ytrabaj,ytrabhaj,o10,o27,e6a,e6b
2,1,55,0.0,0.0,376408.0,1189668,45.0,2.0,3,2
2,2,28,3.0,20.0,0.0,1189668,0.0,0.0,2,2
2,2,55,3.0,24.0,230790.0,1189668,45.0,2.0,3,2
2,1,28,0.0,0.0,582470.0,1189668,45.0,2.0,2,1
2,1,21,0.0,0.0,0.0,1189668,0.0,0.0,3,2
2,1,8,0.0,0.0,0.0,1189668,0.0,0.0,1,2
2,1,2,0.0,0.0,0.0,1189668,0.0,0.0,1,7
2,1,1,0.0,0.0,0.0,1189668,0.0,0.0,1,7
2,1,29,0.0,0.0,1106327.0,1958509,45.0,2.0,2,1
2,2,33,1.0,32.0,642182.0,1958509,45.0,2.0,3,1
2,2,20,1.0,17.0,210000.0,1958509,0.0,0.0,1,1
2,2,2,0.0,0.0,0.0,1958509,0.0,0.0,1,7
2,2,1,0.0,0.0,0.0,1958509,0.0,0.0,1,7
2,1,51,0.0,0.0,401135.0,401135,45.0,1.0,3,1
2,2,61,3.0,17.0,0.0,401135,0.0,0.0,2,2
2,2,82,6.0,18.0,0.0,401135,0.0,0.0,1,1
2,1,57,0.0,0.0,285740.0,285740,45.0,2.0,2,1
2,2,49,3.0,20.0,0.0,285740,0.0,0.0,2,1
2,2,24,2.0,18.0,0.0,285740,0.0,0.0,1,1
2,2,6,0.0,0.0,0.0,285740,0.0,0.0,1,7
2,1,3,0.0,0.0,0.0,285740,0.0,0.0,1,7
2,1,81,0.0,0.0,219800.0,219800,0.0,0.0,2,2
2,2,76,2.0,19.0,0.0,219800,0.0,0.0,2,2
2,2,46,2.0,32.0,952467.0,952467,45.0,2.0,3,1
2,2,12,0.0,0.0,0.0,952467,0.0,0.0,1,2
2,1,10,0.0,0.0,0.0,952467,0.0,0.0,1,2
2,1,39,0.0,0.0,1346605.0,2167005,60.0,2.0,3,1
2,2,39,1.0,33.0,820400.0,2167005,45.0,2.0,3,1
2,2,5,0.0,0.0,0.0,2167005,0.0,0.0,1,7
2,2,34,0.0,0.0,382543.0,765086,45.0,2.0,3,1
2,2,26,0.0,0.0,382543.0,765086,45.0,2.0,2,1
2,2,51,2.0,21.0,201850.0,769483,45.0,2.0,2,1
2,1,45,0.0,0.0,200933.0,769483,45.0,2.0,2,1
2,2,7,0.0,0.0,0.0,769483,0.0,0.0,1,2
2,1,30,0.0,0.0,366700.0,769483,45.0,2.0,2,1
2,1,6,0.0,0.0,0.0,769483,0.0,0.0,1,7
2,2,26,1.0,20.0,0.0,769483,0.0,0.0,2,1
2,1,55,0.0,0.0,1144792.0,1144792,48.0,2.0,3,1
2,2,35,1.0,20.0,0.0,1144792,0.0,0.0,2,1
2,2,13,0.0,0.0,0.0,1144792,0.0,0.0,1,7
2,1,46,0.0,0.0,2143050.0,7204750,48.0,2.0,3,2
2,2,47,2.0,22.0,4512200.0,7204750,42.0,2.0,3,2
2,1,25,0.0,0.0,0.0,7204750,0.0,0.0,3,2
2,2,24,0.0,0.0,0.0,7204750,0.0,0.0,3,2
2,1,28,0.0,0.0,549500.0,7204750,45.0,2.0,2,1
2,1,41,0.0,0.0,728088.0,728088,48.0,2.0,3,1
2,2,39,2.0,22.0,0.0,728088,0.0,0.0,3,1
2,2,16,0.0,0.0,0.0,728088,0.0,0.0,2,2
2,2,13,0.0,0.0,0.0,728088,0.0,0.0,1,2
2,2,44,3.0,19.0,1478428.0,1478428,48.0,2.0,2,1
2,2,18,0.0,0.0,0.0,1478428,0.0,0.0,2,2
2,1,14,0.0,0.0,0.0,1478428,0.0,0.0,1,2
2,1,41,0.0,0.0,842567.0,1196536,60.0,2.0,2,1
2,2,36,3.0,25.0,353969.0,1196536,42.0,2.0,2,1
2,1,10,0.0,0.0,0.0,1196536,0.0,0.0,1,2
2,2,8,0.0,0.0,0.0,1196536,0.0,0.0,1,2
2,2,4,0.0,0.0,0.0,1196536,0.0,0.0,1,7
2,1,47,0.0,0.0,840735.0,840735,84.0,2.0,3,1
2,2,47,2.0,29.0,0.0,840735,0.0,0.0,2,2
2,2,17,0.0,0.0,0.0,840735,0.0,0.0,2,2
2,2,15,0.0,0.0,0.0,840735,0.0,0.0,2,2
2,1,42,0.0,0.0,1949260.0,1949260,48.0,2.0,3,1
2,2,41,2.0,21.0,0.0,1949260,0.0,0.0,3,1
2,2,22,0.0,0.0,0.0,1949260,0.0,0.0,3,2
2,2,17,0.0,0.0,0.0,1949260,0.0,0.0,2,2
2,1,30,0.0,0.0,824250.0,1978200,12.0,2.0,2,1
2,2,30,0.0,0.0,1153950.0,1978200,25.0,2.0,3,1
2,2,61,0.0,0.0,385749.0,484659,44.0,2.0,3,1
2,1,84,0.0,0.0,0.0,484659,0.0,0.0,1,1
2,2,20,0.0,0.0,0.0,484659,0.0,0.0,3,2
2,1,30,0.0,0.0,98910.0,484659,44.0,2.0,2,1
2,2,34,0.0,0.0,0.0,484659,0.0,0.0,1,2
2,2,17,0.0,0.0,0.0,484659,0.0,0.0,2,2
2,1,13,0.0,0.0,0.0,484659,0.0,0.0,1,2
2,1,4,0.0,0.0,0.0,484659,0.0,0.0,1,7
2,2,22,0.0,0.0,0.0,484659,0.0,0.0,2,1
2,1,66,0.0,0.0,0.0,0,0.0,0.0,2,1
2,2,60,4.0,18.0,0.0,0,0.0,0.0,2,1
2,1,22,0.0,0.0,563603.0,763255,32.0,2.0,2,2
2,2,21,0.0,0.0,199652.0,763255,48.0,2.0,2,1
2,1,47,0.0,0.0,1211648.0,1211648,9.0,2.0,3,1
2,2,46,1.0,27.0,0.0,1211648,0.0,0.0,3,2
2,2,18,0.0,0.0,0.0,1211648,0.0,0.0,2,2
2,2,15,0.0,0.0,0.0,1211648,0.0,0.0,2,2
2,1,13,0.0,0.0,0.0,1211648,0.0,0.0,1,2
2,1,45,0.0,0.0,796176.0,1157305,45.0,2.0,2,1
2,2,46,2.0,22.0,0.0,1157305,0.0,0.0,2,1
2,1,15,0.0,0.0,0.0,1157305,0.0,0.0,2,2
2,1,21,0.0,0.0,361129.0,1157305,45.0,2.0,2,1
2,1,28,0.0,0.0,841101.0,1128241,48.0,2.0,2,1
2,2,40,5.0,17.0,287140.0,1128241,6.0,2.0,3,1
2,1,24,0.0,0.0,0.0,1128241,0.0,0.0,3,2
2,1,18,0.0,0.0,0.0,1128241,0.0,0.0,2,2
2,2,15,0.0,0.0,0.0,1128241,0.0,0.0,2,2
2,1,42,0.0,0.0,420368.0,420368,48.0,2.0,2,1
2,2,37,2.0,18.0,0.0,420368,0.0,0.0,3,1
2,2,12,0.0,0.0,0.0,420368,0.0,0.0,1,2
2,1,34,0.0,0.0,460669.0,934715,60.0,2.0,2,1
2,2,35,1.0,20.0,232266.0,934715,45.0,2.0,2,1
2,1,15,0.0,0.0,0.0,934715,0.0,0.0,2,2
2,1,20,0.0,0.0,241780.0,934715,45.0,2.0,2,1
2,1,36,0.0,0.0,366334.0,566334,40.0,2.0,3,2
2,2,38,2.0,29.0,200000.0,566334,0.0,0.0,2,1
2,1,10,0.0,0.0,0.0,566334,0.0,0.0,1,2
2,1,3,0.0,0.0,0.0,566334,0.0,0.0,1,7
2,1,42,0.0,0.0,639800.0,1254592,90.0,2.0,2,1
2,2,43,2.0,16.0,0.0,1254592,0.0,0.0,2,1
2,1,25,0.0,0.0,428792.0,1254592,90.0,2.0,2,1
2,1,21,0.0,0.0,186000.0,1254592,0.0,0.0,2,1
2,2,13,0.0,0.0,0.0,1254592,0.0,0.0,1,2
2,1,53,0.0,0.0,874526.0,1393254,72.0,2.0,2,1
2,2,45,2.0,25.0,243978.0,1393254,48.0,2.0,2,1
2,1,19,0.0,0.0,274750.0,1393254,40.0,2.0,3,2
2,1,7,0.0,0.0,0.0,1393254,0.0,0.0,1,2
2,2,36,2.0,18.0,72000.0,205712,0.0,0.0,2,2
2,2,18,0.0,0.0,133712.0,205712,20.0,2.0,2,1
2,2,3,0.0,0.0,0.0,205712,0.0,0.0,1,7
2,1,39,0.0,0.0,329700.0,648411,45.0,2.0,2,2
2,2,37,3.0,18.0,318711.0,648411,45.0,2.0,2,1
2,2,16,0.0,0.0,0.0,648411,0.0,0.0,2,2
2,2,7,0.0,0.0,0.0,648411,0.0,0.0,1,2
2,1,37,0.0,0.0,12202472.0,12202472,60.0,2.0,2,1
2,2,38,1.0,26.0,0.0,12202472,0.0,0.0,2,1
2,2,11,0.0,0.0,0.0,12202472,0.0,0.0,1,2
2,1,38,0.0,0.0,557743.0,757743,40.0,2.0,2,1
2,2,36,3.0,22.0,200000.0,757743,0.0,0.0,2,2
2,1,14,0.0,0.0,0.0,757743,0.0,0.0,1,2
2,2,2,0.0,0.0,0.0,757743,0.0,0.0,1,7
2,1,0,0.0,0.0,0.0,757743,0.0,0.0,1,7
2,2,55,4.0,16.0,198735.0,198735,40.0,2.0,2,2
2,2,32,0.0,0.0,0.0,198735,0.0,0.0,1,7
2,1,11,0.0,0.0,0.0,198735,0.0,0.0,1,2
2,1,22,0.0,0.0,275300.0,766828,48.0,2.0,3,2
2,1,18,0.0,0.0,204414.0,766828,48.0,2.0,2,1
2,2,32,1.0,20.0,287114.0,766828,25.0,2.0,3,2
2,1,39,0.0,0.0,549500.0,549500,72.0,2.0,2,1
2,2,37,3.0,23.0,0.0,549500,0.0,0.0,3,1
2,1,12,0.0,0.0,0.0,549500,0.0,0.0,1,2
2,1,7,0.0,0.0,0.0,549500,0.0,0.0,1,2
2,1,2,0.0,0.0,0.0,549500,0.0,0.0,1,7
2,1,34,0.0,0.0,389046.0,697499,45.0,2.0,2,1
2,2,35,2.0,24.0,308453.0,697499,45.0,2.0,2,1
2,1,11,0.0,0.0,0.0,697499,0.0,0.0,1,2
2,2,7,0.0,0.0,0.0,697499,0.0,0.0,1,2
2,1,47,0.0,0.0,1045790.0,1289952,48.0,2.0,2,1
2,2,43,3.0,23.0,244162.0,1289952,45.0,2.0,2,2
2,2,20,0.0,0.0,0.0,1289952,0.0,0.0,2,2
2,2,16,0.0,0.0,0.0,1289952,0.0,0.0,2,2
2,2,3,0.0,0.0,0.0,1289952,0.0,0.0,1,7
2,1,37,0.0,0.0,805018.0,971425,60.0,2.0,2,1
2,2,40,2.0,26.0,166407.0,971425,20.0,2.0,2,1
2,2,15,0.0,0.0,0.0,971425,0.0,0.0,2,2
2,1,8,0.0,0.0,0.0,971425,0.0,0.0,1,2
2,1,33,0.0,0.0,756845.0,1142960,66.0,2.0,2,1
2,2,34,3.0,21.0,386115.0,1142960,45.0,2.0,2,1
2,1,12,0.0,0.0,0.0,1142960,0.0,0.0,1,2
2,2,5,0.0,0.0,0.0,1142960,0.0,0.0,1,7
2,2,4,0.0,0.0,0.0,1142960,0.0,0.0,1,7
2,1,38,0.0,0.0,734865.0,1345360,52.0,2.0,3,2
